도서번호,제목,저자,출판사,분야,발행(출시)일자
S00340,가끔 살아 내는 게 엉망이어도 괜찮아,윤글,딥앤와이드,시/에세이,20250502
S00341,첫번째 거짓말이 중요하다,애슐리 엘스턴,문학동네,소설,20250411
S00342,여학교의 별 4,와야마 야마,문학동네,만화,20250331
S00343,그녀를 지키다,장바티스트 앙드레아,열린책들,소설,20250320
S00344,버텨온 시간은 전부 내 힘이었다,신하영,딥앤와이드,시/에세이,20241227
S00345,악마와 함께 춤을,크리스타 K. 토마슨,흐름출판,인문,20241216
S00346,하늘과 바람과 별과 시(초판본),윤동주,더스토리,시/에세이,20241215
S00347,팩트풀니스(50만 부 뉴에디션),한스 로슬링 외,김영사,인문,20240901
S00348,이중 하나는 거짓말,김애란,문학동네,소설,20240827
S00349,행복의 기원,서은국,21세기북스,인문,20240522
S00350,당신에게 분명 좋은 일만 생길 거예요,이슬비,다담북스,시/에세이,20240513
S00351,삶으로 다시 떠오르기,에크하르트 톨레,연금술사,시/에세이,20240201
S00352,컨셉 수업,호소다 다카히로,알에이치코리아,경제/경영,20240124
S00353,행복한 철학자,우애령,하늘재,시/에세이,20231115
S00354,오십에 읽는 주역,강기진,유노북스,인문,20231031
S00355,"백석 시, 백 편",이숭원,태학사,시/에세이,20230816
S00356,여덟 단어,박웅현,인티N,인문,20230615
S00357,제노사이드,다카노 가즈아키,황금가지,소설,20220810
S00358,넛지(파이널 에디션),리처드 탈러 외,리더스북,경제/경영,20220620
S00359,차트분석 무작정 따라하기,윤재수,길벗,경제/경영,20220228
S00360,지구 끝의 온실,김초엽,자이언트북스,소설,20210818
S00361,죽음의 수용소에서,빅터 프랭클,청아출판사,시/에세이,20200530
S00362,지적 대화를 위한 넓고 얕은 지식 1,채사장,웨일북(whalebooks),인문,20200205
S00363,우리가 빛의 속도로 갈 수 없다면,김초엽,허블,소설,20190624
S00364,가재가 노래하는 곳,델리아 오언스,살림,소설,20190621
S00365,회복탄력성(15만부 기념 리커버),김주환,위즈덤하우스,자기계발,20190329
S00366,용의자 X의 헌신,히가시노 게이고,재인,소설,20170830
S00367,해가 지는 곳으로,최진영,민음사,소설,20170630
S00368,살육에 이르는 병,아비코 다케마루,검은숲,소설,20160701
S00369,불안(리커버:K),알랭 드 보통,은행나무,시/에세이,20120104
S00370,차라투스트라는 이렇게 말했다,프리드리히 니체,민음사,소설,20040102
S00371,묘쌤은 이렇게 말했다 7,카나리 토쿠사쿠,소미미디어,만화,20250709
S00372,터틀넥프레스 사업일기 2: WALKS,김보희,터틀넥프레스,인문,20250707
S00373,MCP로 똑똑하게 일하는 법,케이트리,제이펍,컴퓨터/IT,20250626
S00374,세 개의 푸른 돌,은모든,안온북스,소설,20250625
S00375,평화로운 나라의 시마자키에게 8,Hamada Gouten,학산문화사,만화,20250625
S00376,편안함의 습격,마이클 이스터,수오서재,인문,20250624
S00377,어차피 세상은 멸망할 텐데,공현진,문학과지성사,소설,20250624
S00378,나츠메 우인장 31,Yuki Midorikawa,학산문화사,만화,20250624
S00379,지뢰 글리코,아오사키 유고,리드비,소설,20250619
S00380,노간주나무,김해솔,북다,소설,20250616
S00381,나 외계인이 될지도 몰라,신이인,문학동네,시/에세이,20250616
S00382,의젓한 사람들: 다정함을 넘어 책임지는 존재로,김지수,양양하다,인문,20250615
S00383,2025 에듀윌 SQL 개발자 SQLD 2주끝장+무료특강,김남규,에듀윌,컴퓨터/IT,20250610
S00384,나는 월급쟁이 배당 부자가 되었다,환상감자(이은호),길벗,경제/경영,20250610
S00385,허영만의 주식 타짜: 슈퍼개미 이세무사,허영만,가디언,경제/경영,20250530
S00386,조개껍데기를 찾으면,에이미 시쿠로,피카주니어(FIKA JUNIOR),유아(0~7세),20250520
S00387,오늘의 수영장,마리나 사에스,콤마,만화,20250515
S00388,평생 투자자,무라카미 요시아키,에프엔미디어,경제/경영,20250510
S00389,"결국, 마음에 닿는 건 예쁜 말이다",윤설,페이지2북스,시/에세이,20250501
S00390,더 퍼스트,유나바머,위즈덤하우스,자기계발,20250428
S00391,우리가 지혜라고 부르는 것의 비밀,딜립 제스테 외,김영사,과학,20250425
S00392,건전지 할머니,강인숙 외,창비,유아(0~7세),20250425
S00393,해외선물 처음공부,김직선,이레미디어,경제/경영,20250418
S00394,나는 숲속 도서관의 사서입니다,아오키 미아코,어크로스,시/에세이,20250314
S00395,매일 행복할 일만 가득할 당신에게,김태환(장문),새벽녘,시/에세이,20250314
S00396,세법개론 2(2025),임상엽 외,상경사,경제/경영,20250310
S00397,행복했으면 좋겠어 너에게는 늘 따스하고 예쁜 날들만 가득하기를,이보람,물결,시/에세이,20250305
S00398,실리콘밸리 프로세스의 힘,신재은,더퀘스트,경제/경영,20250226
S00399,해변의 스토브 오시로 고가니 단편집,오시로 고가니,문학동네,만화,20250226
S00400,만만이 교사의 쎈 척하는 법,김참외,아이스크림북스,자기계발,20250214
S00401,2025 시대에듀 청소년상담사 3급 한권으로 끝내기,시대청소년상담사 수험연구소,시대고시기획,인문,20250210
S00402,2025 수제비 정보처리기사 실기 기본서 1~2권,윤영빈 외,수제비출판사,컴퓨터/IT,20250210
S00403,진격의 거인 후회 없는 선택 2,Hajime Isayama,학산문화사,만화,20250201
S00404,손자병법,임용한,교보문고,역사/문화,20250128
S00405,경제기사 궁금증 300문 300답(2025),곽해선,혜다,경제/경영,20241220
S00406,숨결이 바람 될 때(100쇄 기념 리미티드 에디션),폴 칼라니티,흐름출판,시/에세이,20241122
S00407,린치핀,세스 고딘,필름(Feelm),자기계발,20241113
S00408,한석준의 대화의 기술,한석준,인플루엔셜,자기계발,20241028
S00409,2025 이기적 컴퓨터활용능력 2급 필기+실기 올인원,홍태성 외,영진닷컴,컴퓨터/IT,20241010
S00410,"도망가자, 바다면 더 좋고",이도훈,일단,시/에세이,20241009
S00411,비폭력대화,마셜 B. 로젠버그,한국NVC출판사,인문,20240805
S00412,나는 왜 남들보다 쉽게 지칠까,최재훈,서스테인,인문,20240710
S00413,부채로 만든 세상,신보성,이콘,경제/경영,20240624
S00414,스쳐지나갈 것들로 인생을 채우지 마라,고은미,한밤의책,자기계발,20240513
S00415,히든 픽처스,제이슨 르쿨락,문학수첩,소설,20240503
S00416,누군가를 이토록 사랑한 적,이병률,문학과지성사,시/에세이,20240424
S00417,여행의 이유,김영하,복복서가,시/에세이,20240417
S00418,수치심은 혁명적 감정이다,프레데릭 그로,책세상,인문,20240305
S00419,난장이가 쏘아올린 작은 공,조세희,이성과힘,소설,20240215
S00420,그대는 나의 여름이 되세요,서덕준,위즈덤하우스,시/에세이,20231214
S00421,내가 아직 쓰지 않은 것,강신애 외,문학동네,시/에세이,20231016
S00422,역행자(확장판),자청,웅진지식하우스,자기계발,20230529
S00423,맡겨진 소녀,클레어 키건,다산책방,소설,20230421
S00424,하우스메이드,프리다 맥파든,북플라자,소설,20230401
S00425,내면소통,김주환,인플루엔셜,인문,20230227
S00426,노희영의 브랜딩 법칙,노희영,21세기북스,경제/경영,20221101
S00427,잘했고 잘하고 있고 잘 될 것이다(50만 부 기념),정영욱,부크럼,시/에세이,20221028
S00428,사서함 110호의 우편물,이도우,수박설탕,소설,20220730
S00429,세상의 마지막 기차역(리커버 에디션),무라세 다케시,모모,소설,20220509
S00430,스피노자 윤리학 수업,진태원,그린비,인문,20220130
S00431,브로콜리지만 사랑받고 싶어,별다름 외,키다리,유아(0~7세),20211213
S00432,여름 상설 공연,박은지,민음사,시/에세이,20210910
S00433,내가 되는 꿈,최진영,현대문학,소설,20210225
S00434,노화의 종말,데이비드 A. 싱클레어 외,부키,인문,20200730
S00435,달러구트 꿈 백화점,이미예,팩토리나인,소설,20200708
S00436,수학의 쓸모,닉 폴슨 외,더퀘스트,과학,20200402
S00437,설중환 교수와 함께 배우는 한자성어 1,설중환,알앤비,인문,20191115
S00438,종의 기원,정유정,은행나무,소설,20160516
S00439,웬만해선 아무렇지 않다,이기호,마음산책,소설,20160225
S00440,죄와 벌 1,도스토예프스키,민음사,소설,20120330
S00441,주식투자 절대지식,브렌트 펜폴드,에디터,경제/경영,20110930
S00442,면도날,서머싯 몸,민음사,소설,20090630
S00443,2025 시대에듀 언어재활사 핵심요약집,곽경미 외,시대고시기획,인문,20250725
S00444,"결국, 해내고야 마는 임용고시 공부법",정태진,미다스북스,인문,20250707
S00445,2026 에듀윌 KBS한국어능력시험 한권끝장+무료특강,송주연 외,에듀윌,인문,20250704
S00446,산빛,박노해,느린걸음,시/에세이,20250704
S00447,라이 라이 라이 3,Yoshiaki,대원씨아이,만화,20250630
S00448,"로컬의 힘, 지역경제를 바꾸다",하상용,돋보기,경제/경영,20250628
S00449,"큰 뜻을 품은 자여, 왜 그 자리에 머물러 있는가",정약용,모티브,인문,20250627
S00450,싱클레어 노트,헤르만 헤세,민음사,시/에세이,20250627
S00451,히카루가 죽은 여름 6,모쿠모쿠렌,디앤씨미디어,만화,20250627
S00452,무너지지 않으려 애쓰는 너에게,예원,부크럼,시/에세이,20250626
S00453,나는 CODAP으로 데이터 분석한다,최정원 외,씨마스,컴퓨터/IT,20250625
S00454,공장폐쇄,송지연,새빛,정치/사회,20250625
S00455,"전지적 독자 시점 13, 14 세트",슬리피-C,에이템포미디어,만화,20250624
S00456,진짜 하루만에 이해하는 해운·조선 산업,김성훈 외,티더블유아이지,경제/경영,20250623
S00457,설득의 언어,유달내,인플루엔셜,자기계발,20250623
S00458,서바이벌 태스크포스,황수빈,북다,소설,20250620
S00459,핑크와 하바네로 11,Mika Satonaka,대원씨아이,만화,20250620
S00460,가짜 결핍,마이클 이스터,부키,인문,20250618
S00461,한국에 남자가 너무 많아서,민지형 외,라우더북스,소설,20250618
S00462,그들이 보지 못할 밤은 아름다워,백사혜,허블,소설,20250618
S00463,진짜의 마인드,김찬희(김진짜),터닝페이지,자기계발,20250618
S00464,"아무튼, 인터뷰",은유,제철소,시/에세이,20250618
S00465,순간을 달리는 할머니 1,엄유진,문학동네,시/에세이,20250617
S00466,너를 아끼며 살아라,나태주,더블북,시/에세이,20250612
S00467,네가 봄에 써야지 속으로 생각했던,심보선,아침달,시/에세이,20250612
S00468,5년 후 10배 오를 바이오 기업에 투자하라,이해진 외,경이로움,경제/경영,20250611
S00469,스타트 위드 와이(15주년 특별 개정판),사이먼 시넥,임팩터(impacter),자기계발,20250611
S00470,"간찰, 붓길 따라 인연 따라",석한남,태학사,시/에세이,20250605
S00471,AI 코리아,구윤철,바다위의정원,경제/경영,20250603
S00472,무엇도 홀로 존재하지 않는다,카를로 로벨리,쌤앤파커스,과학,20250602
S00473,여름을 부탁해!,토마쓰리,길벗어린이,유아(0~7세),20250602
S00474,성공적인 개인 투자를 위한 ETF 안내서,안해성,지음미디어,경제/경영,20250528
S00475,브레인폰을 켜라,일지 이승헌,한문화,자기계발,20250528
S00476,회복탄력성의 뇌과학,아디티 네루카,현대지성,자기계발,20250522
S00477,퀴어,윌리엄 S. 버로스,민음사,소설,20250521
S00478,영감의 공간,김겨울 외,세미콜론,시/에세이,20250519
S00479,어휘력 높이고 싶은 어른을 위한 필사책,손힘찬,비책,인문,20250513
S00480,존재와 시간,마르틴 하이데거,까치,인문,20250507
S00481,최소한의 정치공부,추동훈,매일경제신문사,정치/사회,20250430
S00482,주니어 백엔드 개발자가 반드시 알아야 할 실무 지식,최범균,한빛미디어,컴퓨터/IT,20250428
S00483,초역 채근담,홍자성,부키,인문,20250423
S00484,거절하지 못하면 원하는 삶을 살 수 없다,패트릭 킹,웨일북(whalebooks),인문,20250420
S00485,비트코인의 시대,김창익,다산북스,경제/경영,20250416
S00486,나답게 살고 싶어서 뇌과학을 읽습니다,이케가야 유지,포레스트북스,인문,20250326
S00487,주민의 헌법,박주민,메가스터디북스,정치/사회,20250310
S00488,2025 시나공 정보처리기사 실기 기본서,길벗알앤디 외,길벗,컴퓨터/IT,20250224
S00489,나는 보았습니다,박진여,김영사,시/에세이,20250224
S00490,좋은 사람 도감,묘엔 스구루 외,서교책방,시/에세이,20250120
S00491,진격의 거인 후회없는 선택 1,Hajime Isayama,학산문화사,만화,20250115
S00492,2025 원큐패스 개인정보관리사 CPPG,김창중,다락원,컴퓨터/IT,20250110
S00493,일반기계기사 필기대비,위을복,학진북스,기술/공학,20250109
S00494,AI 리터러시: 인공지능 필수 지식부터 완벽 활용까지,김용성,프리렉,컴퓨터/IT,20241202
S00495,사랑하고 선량하게 잦아드네,유수연,문학동네,시/에세이,20241118
S00496,일의 감각,조수용,REFERENCE BY B,자기계발,20241110
S00497,2025 에듀윌 위험물산업기사 필기 2주끝장 이론편+기출문제편,최창률,에듀윌,기술/공학,20241101
S00498,시대예보: 호명사회,송길영,교보문고,경제/경영,20240925
S00499,지도로 보아야 보인다,에밀리 오브리 외,사이,정치/사회,20240730
S00500,사랑과 결함,예소연,문학동네,소설,20240726
S00501,음악소설집,김애란 외,프란츠,소설,20240701
S00502,2025 챕스랜드 소방안전관리자 2급 찐정리 문신 이론서,서채빈,종이향기,기술/공학,20240610
S00503,달샤베트,백희나,스토리보울,유아(0~7세),20240610
S00504,일할 사람이 사라진다,이철희,위즈덤하우스,경제/경영,20240522
S00505,부의 인문학(20만부 기념 개정증보판),우석,오픈마인드,경제/경영,20240125
S00506,내가 틀릴 수도 있습니다,비욘 나티코 린데블라드,다산초당,인문,20240108
S00507,이반 일리치의 죽음,레프 톨스토이,민음사,소설,20231208
S00508,메스를 든 사냥꾼,최이도,해피북스투유,소설,20231113
S00509,치치새가 사는 숲,장진영,민음사,소설,20231020
S00510,요즘 어른을 위한 최소한의 세계사,임소미,빅피시,역사/문화,20230922
S00511,"돈, 뜨겁게 사랑하고 차갑게 다루어라",앙드레 코스톨라니,미래의창,경제/경영,20230921
S00512,수확자 Scythe,닐 셔스터먼,열린책들,소설,20230210
S00513,워런 버핏의 주주 서한,워렌 버핏 (원저) 외,에프엔미디어,경제/경영,20220722
S00514,새의 선물,은희경,문학동네,소설,20220603
S00515,주식투자 절대원칙,박영옥(주식농부),센시오,경제/경영,20211101
S00516,밝은 밤,최은영,문학동네,소설,20210727
S00517,다정한 것이 살아남는다,브라이언 헤어 외,디플롯,과학,20210726
S00518,위대한 나의 발견 강점혁명,갤럽 프레스,청림출판,자기계발,20210719
S00519,신호와 소음,네이트 실버,더퀘스트,경제/경영,20210105
S00520,살인자의 기억법,김영하,복복서가,소설,20200828
S00521,리타의 정원(리커버),안리타,디자인이음,시/에세이,20200605
S00522,콜 미 바이 유어 네임,안드레 애치먼,잔,소설,20191216
S00523,인간 본성의 법칙,로버트 그린,위즈덤하우스,인문,20190729
S00524,랩 걸,호프 자런,알마,과학,20170216
S00525,시지프 신화,알베르 카뮈,민음사,소설,20160617
S00526,어린 왕자,앙투안 드 생택쥐페리,열린책들,소설,20151020
S00527,정확한 사랑의 실험,신형철,마음산책,시/에세이,20141001
S00528,사과가 쿵!,다다 히로시,보림,유아(0~7세),20090620
S00529,오만과 편견,제인 오스틴,민음사,소설,20090120
S00530,햄릿,셰익스피어,민음사,소설,20090120
S00531,2025 시대에듀 언어재활사 최종모의고사,곽경미 외,시대고시기획,인문,20250820
S00532,2026 이기적 컴퓨터활용능력 2급 실기 기본서,박윤정,영진닷컴,컴퓨터/IT,20250720
S00533,언와인드 디스톨로지 세트 박스,닐 셔스터먼 외,열린책들,소설,20250711
S00534,AI 에디터 커서 Cursor 완벽 가이드,키노시타 유이치로,영진닷컴,컴퓨터/IT,20250707
S00535,웃기려고 한 과학 아닙니다,이창욱,어크로스,과학,20250623
S00536,무조건 팔리는 카피 단어장,간다 마사노리 외,동양북스,경제/경영,20250620
S00537,2026 에듀윌 전기 전기기사 필기 한권끝장+무료특강,에듀윌 전기수험연구소,에듀윌,기술/공학,20250619
S00538,패배 히로인이 너무 많아! SSS,아마모리 타키비,데이즈엔터,소설,20250618
S00539,온전한 사랑의 이해,다니엘,사운드인사이트(Sound Insight),시/에세이,20250616
S00540,너무 그러지 마시어요,나태주,김영사,시/에세이,20250612
S00541,믹스(Mix) 23,아다치 미츠루,대원씨아이,만화,20250612
S00542,"핸즈온 LLM: 프롬프트 엔지니어링부터 임베딩, 시맨틱 검색, 미세 튜닝까지, 손에 잡히는 LLM 개념",제이 알아마르 외,한빛미디어,컴퓨터/IT,20250610
S00543,나 혼자만 레벨업 14,장성락(REDICE STUDIO),디앤씨미디어,만화,20250609
S00544,현명한 투자자,벤저민 그레이엄,국일증권경제연구소,경제/경영,20250602
S00545,업무와 일상을 정리하는 새로운 방법 노션,전시진,제이펍,컴퓨터/IT,20250602
S00546,생각 망치,호리에 다카후미,포레스트북스,자기계발,20250602
S00547,지극히 사적인 일본,나리카와 아야,틈새책방,역사/문화,20250530
S00548,어른의 관계에는 마침표가 없다,김재식,위즈덤하우스,시/에세이,20250530
S00549,괴수 8호 15,Naoya Matsumoto,서울미디어코믹스(서울문화사),만화,20250529
S00550,자연은 계산하지 않는다,로빈 월 키머러,다산초당,인문,20250527
S00551,"나는, 파일럿",김지웅,지식인하우스,시/에세이,20250520
S00552,스타트업 설계자,제프 워커,윌북,경제/경영,20250516
S00553,대한민국 마지막 기회가 온다,김태유,서울대학교출판문화원,경제/경영,20250516
S00554,문어 그림자에 루명 쓴 며느리,오유경,안전가옥,소설,20250515
S00555,게으르게 살지만 부자는 되고 싶어,예프리,모티브,자기계발,20250514
S00556,닥터프렌즈의 구사일생 세계사,이낙준,김영사,인문,20250510
S00557,싯다르타,헤르만 헤세,문학동네,소설,20250510
S00558,맹자 인생수업: 세상의 소란 속에서 나를 지키는 50가지 맹자의 가르침,맹자,하이스트,인문,20250509
S00559,40세 정신과 영수증,정신,이야기장수,시/에세이,20250428
S00560,연매장,팡팡,문학동네,소설,20250418
S00561,주택과 세금(2025),국세청 부동산납세과,동원피엔지,경제/경영,20250411
S00562,업무시간을 반으로 줄이는 챗GPT 글쓰기,정태일,천그루숲,자기계발,20250410
S00563,대통령 윤석열 탄핵 사건 선고 결정문,헌법재판소,더휴먼,정치/사회,20250404
S00564,2025 직8딴 직접 8일 만에 딴 산업안전기사 실기: 필답형+작업형,김진태,EHS MASTER,기술/공학,20250401
S00565,언락 AI,조용민,테라코타,자기계발,20250331
S00566,커서AI 트렌드&활용백과,서승완,스마트북스,경제/경영,20250328
S00567,"삶의 실력, 장자",최진석,위즈덤하우스,인문,20250328
S00568,안과 겉·결혼·여름,알베르 카뮈,민음사,소설,20250328
S00569,사슴(초판본)(1936년 오리지널 초판본 표지디자인),백석,더스토리,시/에세이,20250328
S00570,기억한다는 착각,차란 란가나스,김영사,인문,20250314
S00571,특이점이 온다,레이 커즈와일,김영사,과학,20250313
S00572,플팩의 상급지로 가는 대출력,플팩(강연옥),한국경제신문,경제/경영,20250305
S00573,교사를 위한 챗GPT 업무활용 99제,최서연,테크빌교육,인문,20250228
S00574,노인과 바다(초판본)(1952년 오리지널 초판본 표지디자인),어니스트 헤밍웨이,더스토리,소설,20250228
S00575,꼭 그런 건 아니야,매튜 맥커너히,서삼독,유아(0~7세),20250226
S00576,사랑은 하트 모양이 아니야,김효인,안전가옥,소설,20250214
S00577,원피스 110: 시대의 일렁임,EIICHIRO ODA,대원씨아이,만화,20250123
S00578,세상 끝 책방 이야기,루스 쇼,그림나무,시/에세이,20250113
S00579,이게 되네? 챗GPT 미친 활용법 71제,오힘찬,골든래빗(주),컴퓨터/IT,20250110
S00580,심장보다 단단한 토마토 한 알,고선경,열림원,시/에세이,20250110
S00581,2025 에듀윌 위험물산업기사 실기 2주끝장,최창률,에듀윌,기술/공학,20241220
S00582,새들이 남쪽으로 가는 날,리사 리드센,북파머스,소설,20241218
S00583,개구리가 되고 싶어,김화진,위즈덤하우스,소설,20241211
S00584,월 50만 원으로 8억 만드는 배당머신,평온 외,이나우스북스,경제/경영,20241118
S00585,파리대왕,윌리엄 골딩,문예출판사,소설,20241115
S00586,2025 시나공 정보처리기사 필기 기본서,길벗알앤디 외,길벗,컴퓨터/IT,20241111
S00587,2025 이기적 ITQ OA Master 한글 ver.2022+엑셀/파워포인트 ver.2021 올인원,영진정보연구소,영진닷컴,컴퓨터/IT,20241111
S00588,2025 알기사 정보보안기사 산업기사 필기+핵심기출 1200제,조현준,지안에듀,컴퓨터/IT,20241030
S00589,어른의 어휘 일력 365,서선행 외,윌마,인문,20240930
S00590,말투만 바꿨을 뿐인데,김민성,PROFILER BOOKS,자기계발,20240926
S00591,기쁜 눈물,이도,임팩트하우스,유아(0~7세),20240830
S00592,프롬프트 엔지니어의 업무일지,강수진,리코멘드,컴퓨터/IT,20240820
S00593,라비우와 링과,김서해,위즈덤하우스,소설,20240814
S00594,만일 내가 그때 내 말을 들어줬더라면,나종호,다산북스,인문,20240725
S00595,무정형의 삶,김민철,위즈덤하우스,시/에세이,20240710
S00596,포스 윙,레베카 야로스,북폴리오,소설,20240624
S00597,허송세월,김훈,나남,시/에세이,20240620
S00598,이렇게 작지만 확실한 행복,무라카미 하루키,문학사상,시/에세이,20240610
S00599,첫사랑의 침공,권혁일,안전가옥,소설,20240610
S00600,삼체 1~3 세트,류츠신,자음과모음,소설,20240607
S00601,2025 SQLD 모든 것,조용학,아이리포,컴퓨터/IT,20240601
S00602,몰입 확장판,황농문,알에이치코리아,자기계발,20240501
S00603,오래 보고 싶었다,나태주,더블북,시/에세이,20231005
S00604,인생(위화 작가 등단 40주년 기념 리커버 특별판),위화,푸른숲,소설,20230905
S00605,하늘과 바람과 별과 인간,김상욱,바다출판사,과학,20230526
S00606,이끼숲,천선란,자이언트북스,소설,20230502
S00607,벌거벗은 세계사: 경제편,tvn<벌거벗은세계사>제작팀 외,교보문고,역사/문화,20230428
S00608,도둑맞은 집중력,요한 하리,어크로스,인문,20230428
S00609,불안한 완벽주의자를 위한 책,마이클 투히그 외,수오서재,인문,20230412
S00610,AICE 시험 완벽 대비 Basic편,고영훈 외,한국경제신문,컴퓨터/IT,20230315
S00611,한국형 가치투자,최준철 외,이콘,경제/경영,20230315
S00612,교사의 말 연습,김성효,빅피시,인문,20230118
S00613,마케팅 설계자,러셀 브런슨,윌북,경제/경영,20221230
S00614,나미야 잡화점의 기적(무선 보급판),히가시노 게이고,현대문학,소설,20221219
S00615,FBI 행동의 심리학(리커버 특별판),조 내버로 외,리더스북,자기계발,20221120
S00616,회사는 엑셀을 가르쳐주지 않아요,쏘피(박성희),메가스터디북스,컴퓨터/IT,20220920
S00617,골드플레이션,양베리(조규원),경이로움,경제/경영,20220824
S00618,유령의 마음으로,임선우,민음사,소설,20220325
S00619,삼체 2: 암흑의 숲,류츠신,자음과모음,소설,20220215
S00620,삼체 1: 삼체문제,류츠신,자음과모음,소설,20220215
S00621,이재명의 나의 소년공 다이어리,이재명 외,팬덤북스,정치/사회,20210722
S00622,도덕의 계보,프리드리히 니체,아카넷,인문,20210630
S00623,"오늘 밤, 세계에서 이 사랑이 사라진다 해도",이치조 미사키,모모,소설,20210628
S00624,욕구들,캐럴라인 냅,북하우스,시/에세이,20210517
S00625,불편한 편의점(벚꽃 에디션),김호연,나무옆의자,소설,20210420
S00626,명랑한 은둔자,캐럴라인 냅,바다출판사,시/에세이,20200904
S00627,지적 대화를 위한 넓고 얕은 지식 2,채사장,웨일북(whalebooks),인문,20200205
S00628,페인트,이희영,창비,소설,20191129
S00629,지구에서 한아뿐,정세랑,난다,소설,20190731
S00630,팥빙수의 전설,이지은,웅진주니어,유아(0~7세),20190607
S00631,시작의 기술,개리 비숍,웅진지식하우스,자기계발,20190417
S00632,좋은지 나쁜지 누가 아는가,류시화,더숲,시/에세이,20190311
S00633,관촌수필,이문구,문학과지성사,소설,20180903
S00634,자유론(무삭제 완역본),존 스튜어트 밀,현대지성,인문,20180601
S00635,나무를 심은 사람,장 지오노,두레,소설,20180310
S00636,침팬지 폴리틱스,프란스 드 발,바다출판사,과학,20180309
S00637,패권의 비밀,김태유 외,서울대학교출판문화원,경제/경영,20170925
S00638,외투,니콜라이 고골,민음사,소설,20170630
S00639,리틀 라이프 1,한야 야나기하라,시공사,소설,20160616
S00640,리틀 라이프 2,한야 야나기하라,시공사,소설,20160616
